name,age,gender,projects_completed,productivity_(%),satisfaction_rate_(%),feedback_score,department,position,joining_date,salary,avg_productivity,avg_satisfaction
Douglas Lindsey,25,Male,11,57,25,4.7,Marketing,Analyst,,63596,44.26190476190476,46.023809523809526
Anthony Roberson,59,Female,19,55,76,2.8,IT,Manager,1999-01-01,112540,56.3421052631579,54.3421052631579
Thomas Miller,30,Male,8,87,10,2.4,IT,Analyst,,66292,56.3421052631579,54.3421052631579
Joshua Lewis,26,Female,1,53,4,1.4,Marketing,Intern,,38303,44.26190476190476,46.023809523809526
Stephanie Bailey,43,Male,14,3,9,4.5,IT,Team Lead,,101133,56.3421052631579,54.3421052631579
Jonathan King,24,Male,5,63,33,4.2,Sales,Junior Developer,,48740,44.212765957446805,48.61702127659574
Kyle Figueroa,33,Female,13,41,39,2.3,Sales,Analyst,,73502,44.212765957446805,48.61702127659574
Shannon Allen,23,Female,4,92,68,2.8,HR,Intern,,39670,48.125,51.625
Daryl Noble,30,Female,7,32,43,2.3,Marketing,Junior Developer,,49323,44.26190476190476,46.023809523809526
Tracy Figueroa,39,Female,17,10,15,1.1,HR,Team Lead,,92915,48.125,51.625
Eric Sanders,36,Male,11,45,67,1.2,Finance,Senior Developer,,80721,42.26829268292683,50.048780487804876
Joshua Nelson,42,Female,19,9,31,2.5,Sales,Team Lead,,95072,44.212765957446805,48.61702127659574
Donald Davis,25,Female,2,15,97,1.8,HR,Intern,,35169,48.125,51.625
Ms. Emily Dawson,32,Female,14,45,20,3.1,Marketing,Analyst,,70271,44.26190476190476,46.023809523809526
Angela Davis,29,Male,18,88,8,1.8,Sales,Senior Developer,,89571,44.212765957446805,48.61702127659574
Melissa Galvan,40,Male,17,3,53,1.8,Sales,Manager,,118466,44.212765957446805,48.61702127659574
Erin Smith,46,Male,15,44,37,3.7,Marketing,Team Lead,,105893,44.26190476190476,46.023809523809526
James Hernandez,41,Female,13,44,36,3.9,Marketing,Team Lead,,92074,44.26190476190476,46.023809523809526
Amanda White,36,Male,12,22,66,2.2,IT,Team Lead,,107279,56.3421052631579,54.3421052631579
Michael Morton DDS,23,Male,2,1,17,4.4,Sales,Intern,,37855,44.212765957446805,48.61702127659574
Michelle Moreno,25,Male,10,29,73,2.0,Finance,Junior Developer,,52122,42.26829268292683,50.048780487804876
Shannon Wilson,26,Female,4,46,66,2.4,Sales,Junior Developer,,50233,44.212765957446805,48.61702127659574
Chad Zamora,27,Female,10,9,80,3.8,Finance,Junior Developer,,51316,42.26829268292683,50.048780487804876
Stephanie Rivera,25,Female,3,76,26,1.2,Marketing,Junior Developer,,56946,44.26190476190476,46.023809523809526
Tracy Briggs,40,Male,22,18,68,4.7,IT,Manager,,100795,56.3421052631579,54.3421052631579
Kimberly Cooper,27,Female,9,26,13,1.3,Finance,Junior Developer,,46910,42.26829268292683,50.048780487804876
Heather Mueller,45,Female,11,0,52,2.8,Finance,Senior Developer,,87114,42.26829268292683,50.048780487804876
Susan Johnson,35,Male,17,26,81,3.9,Finance,Manager,,119895,42.26829268292683,50.048780487804876
Stephen Watson,33,Male,17,84,69,1.2,Sales,Senior Developer,,90885,44.212765957446805,48.61702127659574
Amanda Brown,26,Female,7,86,51,4.2,IT,Junior Developer,,47188,56.3421052631579,54.3421052631579
Michelle Perez,29,Male,5,93,94,4.9,Marketing,Junior Developer,,57478,44.26190476190476,46.023809523809526
Kim Larson,25,Female,3,15,99,2.8,Marketing,Junior Developer,,47322,44.26190476190476,46.023809523809526
Emily Palmer,26,Male,10,95,100,1.5,IT,Junior Developer,,59502,56.3421052631579,54.3421052631579
